"","tt","pr","obs_pr"
"1",0,0.213362069973694,0.101358588635954
"2",30,0.186983502718962,0.207408867106583
"3",61,0.187548863940519,0
"4",91,0.236192955955274,0.235747253015581
"5",122,0.328406628772332,0.378130846485549
"6",152,0.41215644600115,0.504029374483235
"7",182,0.451310455937772,0.305565043059642
"8",213,0.43922470128092,0.419438677115038
"9",243,0.394568777729906,0.375032809187635
"10",274,0.33815430592599,0.315537870020832
"11",304,0.287292581816955,0.242996631121857
"12",335,0.242328012340489,0.29264657570337
"13",365,0.207054252748502,0.37225624437724
"14",395,0.186275671305472,0.0557965191388933
"15",426,0.199347942371795,0.240342098359939
"16",456,0.260829854305982,0.111788934940516
"17",487,0.352866077119392,0.311105075939756
"18",517,0.422374353670755,0.418166200874444
"19",548,0.444627358871696,0.488067066284587
"20",578,0.421340716260541,0.348214730079747
"21",608,0.373319202222178,0.41077155585822
"22",639,0.318297870856689,0.347333971325888
"23",669,0.270080646507506,0.165717162904724
"24",700,0.227625192280311,0.286647297980714
"25",730,0.193681884880568,0.344762279219332
"26",760,0.169365306821565,0.161569698468908
"27",791,0.162869640011866,0.0880018517318118
"28",821,0.182062490121152,0.180786465221109
"29",852,0.220257563943127,0.154114447644451
"30",882,0.252671977434871,0.131680005333847
"31",912,0.262645887728604,0.337474942912691
"32",943,0.247531276998217,0.261650365843214
"33",973,0.218729689376663,0.23822452655636
"34",1004,0.186307061165681,0.31619097184117
"35",1034,0.158051248021348,0.167014294650929
"36",1065,0.133193240670029,0.122473479625024
"37",1095,0.113292148798056,0
"38",1125,0.0989238416235987,0.0765848622968112
"39",1156,0.0949707053119563,0.069895027051325
"40",1186,0.107125108397189,0.19250973869811
"41",1217,0.133646446663508,0.139249234687239
"42",1247,0.159958758903089,0.108828892992236
"43",1278,0.173399515059443,0.169402323135592
"44",1308,0.16859657094324,0.148477895483222
"45",1338,0.151602744646809,0.187186513910227
"46",1369,0.13002728522372,0.350460691250669
"47",1399,0.110513460238401,0.114235970673936
"48",1430,0.0932627907693009,0.139479516313831
"49",1460,0.0800106357700371,0.0894662257228117
"50",1490,0.0747941830647077,0
"51",1521,0.0952515728229335,0.164218491370019
"52",1551,0.163812893480745,0.144353954310067
"53",1582,0.280007622319592,0.263520646737066
"54",1612,0.387652849072413,0.389187056449145
"55",1642,0.445640800358216,0.448005660703797
"56",1673,0.445041053645055,0.48902725698919
"57",1703,0.404606194508673,0.222677005957238
"58",1734,0.348299923212052,0.56290449789656
"59",1764,0.296245481283375,0.267347780843878
"60",1795,0.250067877564867,0.267136337541669
"61",1825,0.214515813646798,0.300463484227573
"62",1855,0.19812702374504,0.144919963861399
"63",1886,0.230672295608541,0.319788489126079
"64",1916,0.32892643353223,0.309254720597898
"65",1947,0.457506909697399,0.363301844981936
"66",1977,0.542483431526819,0.46441538223403
"67",2008,0.563216608009335,0.648421193611507
"68",2038,0.529993448561539,0.540527099343371
"69",2068,0.468461009647821,0.507551314383899
"70",2099,0.399139264396396,0.263183218968741
"71",2129,0.338611300815453,0.220952396305258
"72",2160,0.285336193569478,0.308068221059631
"73",2190,0.242509834544928,0.349495467603774
"74",2220,0.209953598506928,0.228889301169848
"75",2251,0.19162157860225,0.29708504932502
"76",2281,0.188684828573148,0.230597611573244
"77",2312,0.189907085320878,0.238446929045448
"78",2342,0.182590557335992,0.173795703564402
"79",2372,0.164358877347856,0.178133414580736
"80",2403,0.140703381715389,0.133477198755336
"81",2433,0.119259484717466,0.273206952026089
"82",2464,0.100403992977858,0.204275413684328
"83",2494,0.0850149339324007,0.144918235335348
